Branch 1,,Branch 2,,Branch 3,,Branch 4,
X,Y,X,Y,X,Y,X,Y
0.002159861591695511,0,0.002159861591695511,0,0.002159861591695511,6.336633663366337,0.002159861591695511,15.70957095709571
0.015119031141868494,0.033003300330033625,0.048596885813148805,0.6600660066006618,0.1933076124567474,6.204620462046204,0.1933076124567474,15.775577557755778
0.046437024221453294,0.23102310231023182,0.1900678200692041,2.6402640264026402,0.3747359861591696,5.940594059405942,0.22786539792387542,15.70957095709571
0.5604840830449828,2.673267326732674,0.23434498269896195,3.300330033003302,0.4719297577854672,5.841584158415841,0.37041626297577857,15.082508250825084
0.7451522491349482,3.531353135313534,0.307780276816609,4.059405940594061,0.563723875432526,5.610561056105613,0.4676100346020762,14.554455445544555
0.9352200692041523,4.356435643564357,0.3747359861591696,4.686468646864686,0.7473121107266437,4.950495049504951,0.5648038062283738,13.993399339933996
,,0.4708498269896194,5.775577557755778,0.9384598615916957,4.38943894389439,0.6382391003460208,13.465346534653467
,,0.5680435986159169,6.9306930693069315,,,0.6987152249134948,13.036303630363038
,,0.7073546712802768,8.646864686468648,,,0.7451522491349482,12.673267326732676
,,0.7527117647058824,9.174917491749175,,,0.8250671280276817,11.947194719471948
,,0.8920228373702423,10.594059405940595,,,0.9352200692041523,11.023102310231025
,,0.9352200692041523,11.056105610561056,,,,
