Branch 1,,Branch 2,,Branch 3,,Branch 4,
X,Y,X,Y,X,Y,X,Y
0.01645845811702712,0.07884906871120378,0.06713312963996054,0.8450051067609685,0.010153275144983709,6.296853497839539,0.0044050471441994254,15.587699222708412
0.09747414337597793,0.41165024119262483,0.08064374607638425,1.0125031412209111,0.023650173478667047,6.272298093934271,0.017568767057575985,15.623174236395014
0.11097961552387398,0.5071282362656113,0.09415436251280795,1.1800011756808502,0.03714878657519288,6.271749369824658,0.03106480800983802,15.586615492591923
0.12448165814608497,0.5545928717472997,0.10766669371207421,1.37150588993644,0.050647399671718774,6.271200645715041,0.04456342110636391,15.586066768482308
0.13798370076829586,0.602057507228988,0.12117731014849786,1.5390039243963827,0.06414601276824461,6.2706519216054275,0.058062034202889745,15.585518044372694
0.1514883155347707,0.6855321624041473,0.13468792658492157,1.7065019588563217,0.0776446258647705,6.270103197495814,0.07156064729941564,15.584969320263077
0.16498950077556035,0.720993457988012,0.14820025778418777,1.8980066731119116,0.09114323896129634,6.269554473386197,0.08505926039594147,15.584420596153464
0.1784932581606139,0.792464773265344,0.16171087422061148,2.0655047075718507,0.10464185205782217,6.269005749276584,0.09855787349246736,15.583871872043849
0.19199701554566734,0.8639360885426832,0.17522234803845643,2.245006081929617,0.11814046515434806,6.268457025166967,0.112059058733257,15.61933316762771
0.20549820078645709,0.8993973841265479,0.1887346792377227,2.436510796185207,0.1316390782508739,6.2679083010573535,0.12556195873688925,15.678801143007222
0.21900281555293183,0.9828720393017072,0.2022444382927251,2.5920054907473222,0.1451376913473998,6.267359576947737,0.13906057183341508,15.678252418897607
0.23250571555656407,1.0423400146812192,0.2157559121105701,2.7715068651050885,0.15863630444392562,6.266810852838123,0.15255918492994097,15.677703694787994
0.24600690079735366,1.0778013102650803,0.2292673859284151,2.951008239462851,0.17213320277760896,6.242255448932859,0.1660577980264668,15.677154970678377
0.25951237294524976,1.1732793053380703,0.2427780023648387,3.1185062739227902,0.1856266715856072,6.1696866854362895,0.1795564111229927,15.676606246568763
0.27301441556746076,1.2207439408197551,0.2562886188012624,3.2860043083827293,0.1991278568263969,6.205147981020151,0.19305416683809729,15.664054182561323
