# Intensity Error |Q|
#  shape: 10
1.930960e+00 1.785219e+00 1.500000e-01
2.554481e-01 1.573185e-01 4.500000e-01
1.363836e-01 1.025681e-01 7.500000e-01
3.206724e-02 9.896368e-02 1.050000e+00
1.159203e-01 9.676847e-02 1.350000e+00
-1.964211e-02 1.152811e-01 1.650000e+00
1.304729e-01 1.317214e-01 1.950000e+00
1.041770e-01 1.269201e-01 2.250000e+00
7.795947e-02 1.329818e-01 2.550000e+00
-1.692434e-02 1.476807e-01 2.850000e+00
