Freq	14K_chi2	12K_chi2	10K_chi2	8K_chi2	5K_chi2	3K_chi2	14K_chi1	12K_chi1	10K_chi1	8K_chi1	5K_chi1	3K_chi1
1.2881704	0	-5.54E-05	-0.000159995	-5.33E-06	-5.13E-05	-0.000155206	0	-7.07E-05	0.00012291	0.000307408	8.35E-05	-0.000322439
1.3028087	0	-7.46E-05	-0.000178368	-2.14E-05	-4.82E-05	-0.00012883	0	-7.26E-05	0.000155554	0.000357669	0.000114867	-0.000295681
1.317447	0	-0.000110847	-0.000199028	-4.80E-05	-3.89E-05	-0.000118441	0	-6.79E-05	0.000192022	0.000401544	0.000145779	-0.000272572
1.3320853	0	-0.000160648	-0.000225175	-8.69E-05	-2.82E-05	-0.000138156	0	-5.85E-05	0.000221396	0.000428921	0.000176143	-0.000263512
1.3467236	0	-0.000214767	-0.000253915	-0.000134387	-1.94E-05	-0.000189676	0	-4.34E-05	0.000237493	0.000437601	0.000205566	-0.000272912
1.3613619	0	-0.000262907	-0.000278081	-0.000183377	-1.27E-05	-0.000263355	0	-1.72E-05	0.000243163	0.0004365	0.000233562	-0.000293904
1.3760002	0	-0.000297559	-0.000291043	-0.000225986	-6.04E-06	-0.000344574	0	2.61E-05	0.000249264	0.000441146	0.000259536	-0.00031131
1.3906385	0	-0.00031466	-0.00029078	-0.000256397	2.25E-06	-0.000420071	0	8.83E-05	0.00026883	0.000468522	0.000281602	-0.000310236
1.4052768	0	-0.000311772	-0.000281248	-0.00027343	1.21E-05	-0.000481076	0	0.000163146	0.000307589	0.00052851	0.000295413	-0.000285601
1.4199151	0	-0.000286949	-0.000270954	-0.000283115	2.14E-05	-0.000524747	0	0.000238812	0.000362182	0.0006209	0.000297521	-0.000243826
1.4345534	0	-0.00023947	-0.000269668	-0.000299312	2.79E-05	-0.000554596	0	0.000301669	0.000420994	0.000732897	0.000288788	-0.000198588
1.4491917	0	-0.000171494	-0.000284353	-0.00033873	3.07E-05	-0.00057917	0	0.000341324	0.000469202	0.000841744	0.00027688	-0.000163266
1.46383	0	-8.81E-05	-0.000315197	-0.000409547	3.22E-05	-0.000606837	0	0.000352435	0.000497408	0.000922383	0.000276649	-0.000143252
1.4784683	0	3.56E-06	-0.000353744	-0.000499629	3.71E-05	-0.000638878	0	0.00033574	0.000505437	0.000959541	0.00030209	-0.000134599
