Freq	3K	5K	8K	10K	12K	14K	16K	18K	20K	22K	25K	30K	40K	50K	70K	100K	125K	297K	3K_er	5K_er	8K_er	10K_er	12K_er	14K_er	16K_er	18K_er	20K_er	22K_er	25K_er	30K_er	40K_er	50K_er
0.6148086	0.444294	0.443074	0.444389	0.445769	0.448396	0.450564	0.44904	0.452119	0.451395	0.452433	0.452913	0.448863	0.440634	0.429619	0.390769	0.351804	0.3096	0.0423483	0.00141671	0.00141282	0.00141701	0.00142141	0.00142979	0.0014367	0.00143184	0.00144166	0.00143935	0.00144266	0.00144419	0.00143127	0.00140504	0.00136991
0.6294469	0.441658	0.440321	0.441488	0.442835	0.445471	0.447725	0.446093	0.449157	0.448539	0.449818	0.450242	0.446588	0.438442	0.427345	0.389684	0.350131	0.306413	0.0385474	0.00136568	0.00136155	0.00136516	0.00136932	0.00137747	0.00138444	0.0013794	0.00138887	0.00138696	0.00139091	0.00139222	0.00138092	0.00135574	0.00132142
0.6440852	0.43909	0.437687	0.438756	0.440015	0.442695	0.44495	0.443304	0.446344	0.445818	0.44731	0.447763	0.444438	0.43643	0.425232	0.387964	0.347866	0.303021	0.0354349	0.00122275	0.00121884	0.00122182	0.00122532	0.00123278	0.00123906	0.00123448	0.00124295	0.00124148	0.00124564	0.0012469	0.00123764	0.00121534	0.00118416
0.6587235	0.435512	0.434085	0.435111	0.436225	0.438955	0.441133	0.439563	0.44255	0.442108	0.44372	0.444306	0.441247	0.433416	0.422139	0.384387	0.343803	0.29838	0.0333067	0.00106954	0.00106604	0.00106856	0.0010713	0.001078	0.00108335	0.00107949	0.00108683	0.00108574	0.0010897	0.00109114	0.00108363	0.0010644	0.0010367
0.6733618	0.430172	0.428753	0.429765	0.430703	0.433466	0.435509	0.434082	0.436982	0.436623	0.438217	0.439047	0.436214	0.428561	0.417276	0.378314	0.337319	0.291867	0.0321643	0.000974637	0.000971423	0.000973715	0.00097584	0.000982101	0.000986728	0.000983496	0.000990067	0.000989254	0.000992864	0.000994744	0.000988326	0.000970986	0.000945418
0.6880001	0.422806	0.421427	0.422422	0.423191	0.425958	0.427832	0.426591	0.429381	0.429107	0.430543	0.431708	0.429091	0.421582	0.4104	0.369838	0.328538	0.283509	0.0317488	0.000974581	0.000971401	0.000973696	0.000975469	0.000981846	0.000986167	0.000983305	0.000989737	0.000989105	0.000992414	0.000995099	0.000989068	0.00097176	0.000945984
0.7026384	0.413667	0.412367	0.413332	0.413971	0.416708	0.418408	0.417373	0.420055	0.419864	0.421056	0.422602	0.42021	0.412806	0.401845	0.359725	0.318297	0.273992	0.0316472	0.00107976	0.00107636	0.00107888	0.00108055	0.0010877	0.00109213	0.00108943	0.00109643	0.00109593	0.00109904	0.00110308	0.00109683	0.00107751	0.0010489
0.7172767	0.403407	0.402232	0.40317	0.403722	0.406399	0.407945	0.407128	0.409732	0.409614	0.410573	0.412492	0.410333	0.403014	0.392364	0.349169	0.307876	0.264444	0.0314011	0.00128679	0.00128304	0.00128603	0.00128779	0.00129633	0.00130126	0.00129866	0.00130696	0.00130659	0.00130965	0.00131577	0.00130888	0.00128554	0.00125156
0.731915	0.392838	0.39183	0.392778	0.393258	0.395849	0.397286	0.396701	0.39928	0.399215	0.400058	0.402297	0.400366	0.393142	0.382834	0.339405	0.298575	0.256028	0.0306221	0.00157892	0.00157487	0.00157868	0.00158061	0.00159102	0.00159679	0.00159444	0.00160481	0.00160455	0.00160794	0.00161694	0.00160918	0.00158014	0.00153871
0.7465533	0.382658	0.381838	0.382855	0.383239	0.385721	0.387107	0.386779	0.389391	0.389354	0.390277	0.39277	0.391045	0.383944	0.373949	0.3313	0.291249	0.249508	0.0291064	0.0019121	0.001908	0.00191309	0.00191501	0.00192741	0.00193434	0.00193269	0.00194575	0.00194556	0.00195018	0.00196263	0.00195401	0.00191853	0.00186858
0.7611916	0.373242	0.372594	0.373733	0.373974	0.376333	0.377717	0.377681	0.380368	0.380334	0.381543	0.384245	0.382691	0.375751	0.366002	0.325065	0.286001	0.24494	0.0269015	0.00221095	0.00220711	0.00221386	0.00221528	0.00222926	0.00223746	0.00223724	0.00225316	0.00225296	0.00226012	0.00227612	0.00226692	0.00222581	0.00216806
0.7758299	0.364567	0.364038	0.365321	0.365377	0.367617	0.369014	0.369305	0.372074	0.372028	0.373663	0.376565	0.375149	0.368412	0.358834	0.320233	0.28217	0.241658	0.0242937	0.00239905	0.00239556	0.002404	0.00240437	0.00241912	0.00242831	0.00243022	0.00244844	0.00244814	0.0024589	0.00247799	0.00246868	0.00242435	0.00236132
0.7904682	0.356298	0.355806	0.357213	0.357086	0.359225	0.360614	0.361236	0.364063	0.36401	0.366096	0.369208	0.367915	0.361424	0.351967	0.315881	0.278628	0.238556	0.021717	0.00244977	0.00244639	0.00245606	0.00245519	0.0024699	0.00247945	0.00248373	0.00250316	0.0025028	0.00251714	0.00253854	0.00252965	0.00248502	0.00242
0.8051065	0.347971	0.347439	0.348916	0.348659	0.350718	0.352056	0.352954	0.355806	0.355773	0.358219	0.361533	0.360373	0.354168	0.344823	0.311018	0.274257	0.234552	0.0195977	0.00241434	0.00241065	0.0024209	0.00241912	0.0024334	0.00244268	0.00244892	0.00246871	0.00246847	0.00248545	0.00250844	0.00250039	0.00245734	0.0023925
0.8197448	0.339202	0.338592	0.340063	0.33976	0.341753	0.343001	0.34405	0.346904	0.346928	0.349585	0.353036	0.35205	0.346151	0.336953	0.30495	0.268378	0.229004	0.0181792	0.00239464	0.00239034	0.00240072	0.00239858	0.00241265	0.00242146	0.00242887	0.00244902	0.00244919	0.00246794	0.00249231	0.00248535	0.0024437	0.00237876
