Freq	3K	5K	10K	15K	20K	25K	30K	35K	40K	50K	70K	100K	125K	150K	175K	200K	225K	250K	275K	296K
1.80051336	0.0441396	0.0423205	0.0426325	0.0426153	0.0431663	0.0390363	0.0481473	0.0407356	0.0410165	0.0379683	0.0357008	0.0326493	0.0254706	0.0177479	0.0107543	0.00783342	0.00432886	0.00273326	0.00208764	0.00174324
1.80234315	0.0438812	0.0421287	0.042405	0.0423957	0.0429158	0.0388443	0.0479205	0.0405436	0.0408219	0.0378341	0.0355521	0.0325026	0.0253593	0.0176662	0.0106939	0.00776752	0.00427159	0.00265154	0.00203094	0.00169102
1.80417294	0.0436248	0.0419375	0.04218	0.0421796	0.0426701	0.0386542	0.047694	0.0403537	0.0406289	0.0377003	0.0354067	0.0323552	0.0252487	0.017582	0.010633	0.00769884	0.00421324	0.00256533	0.00197199	0.00163143
1.80600273	0.0433703	0.0417468	0.0419573	0.0419669	0.0424294	0.0384655	0.0474672	0.0401658	0.0404372	0.0375662	0.0352642	0.0322065	0.0251387	0.0174955	0.0105713	0.00762746	0.00415403	0.00247518	0.00191125	0.0015648
1.80783252	0.043118	0.0415563	0.0417365	0.0417577	0.0421938	0.0382779	0.0472402	0.0399796	0.0402464	0.0374314	0.0351241	0.0320566	0.0250293	0.0174067	0.0105086	0.00755367	0.00409424	0.00238174	0.0018492	0.00149157
1.80966231	0.0428678	0.0413659	0.0415172	0.0415515	0.0419635	0.0380911	0.0470128	0.0397952	0.0400566	0.0372954	0.034986	0.0319052	0.0249203	0.0173156	0.0104448	0.00747763	0.00403406	0.00228554	0.00178637	0.00141219
1.8114921	0.0426197	0.0411753	0.041299	0.0413483	0.0417383	0.0379048	0.0467848	0.0396123	0.0398675	0.0371577	0.0348493	0.0317521	0.0248116	0.0172222	0.0103795	0.00739958	0.00397381	0.00218731	0.00172325	0.00132717
1.81332189	0.0423737	0.0409847	0.0410817	0.0411481	0.0415187	0.0377187	0.0465562	0.039431	0.039679	0.0370181	0.0347136	0.0315973	0.0247031	0.0171268	0.0103126	0.00731954	0.0039137	0.00208764	0.00166032	0.00123703
1.81515168	0.0421299	0.0407936	0.0408649	0.0409507	0.0413041	0.0375325	0.0463268	0.039251	0.0394909	0.0368759	0.0345783	0.0314407	0.0245947	0.0170292	0.0102439	0.00723767	0.00385396	0.00198726	0.00159808	0.00114234
1.81698147	0.041888	0.0406022	0.0406482	0.0407558	0.0410948	0.0373461	0.0460967	0.0390723	0.0393031	0.036731	0.034443	0.0312825	0.0244862	0.0169297	0.0101732	0.00715407	0.00379494	0.00188687	0.00153704	0.00104374
1.81881126	0.0416484	0.0404102	0.0404313	0.0405634	0.0408906	0.0371592	0.0458657	0.0388947	0.0391157	0.0365828	0.0343071	0.0311224	0.0243774	0.0168284	0.0101005	0.00706883	0.00373678	0.00178713	0.00147766	0.000941879
1.82064105	0.0414109	0.0402175	0.0402143	0.0403733	0.0406913	0.0369716	0.0456338	0.0387182	0.0389284	0.0364316	0.0341703	0.0309606	0.0242683	0.0167254	0.0100255	0.00698198	0.00367979	0.00168877	0.0014204	0.000837504
1.82247084	0.0411754	0.0400242	0.0399966	0.0401853	0.0404969	0.0367834	0.0454011	0.0385426	0.0387413	0.0362768	0.0340322	0.0307972	0.0241588	0.016621	0.00994825	0.00689355	0.00362419	0.0015924	0.00136572	0.000731453
1.82430063	0.0409421	0.0398302	0.0397783	0.0399994	0.0403068	0.0365944	0.0451676	0.0383681	0.0385545	0.0361183	0.0338923	0.0306324	0.0240487	0.0165152	0.00986857	0.00680357	0.00357006	0.00149873	0.00131401	0.000624794
1.82613042	0.040711	0.0396355	0.0395593	0.0398154	0.040121	0.0364046	0.0449333	0.0381944	0.0383678	0.0359562	0.0337504	0.0304662	0.023938	0.0164081	0.00978651	0.00671203	0.00351766	0.00140835	0.00126564	0.000518901
1.82796021	0.040482	0.0394401	0.0393395	0.0396331	0.0399391	0.0362139	0.0446984	0.0380214	0.0381814	0.0357903	0.033606	0.0302989	0.0238264	0.0163	0.00970201	0.00661892	0.00346701	0.0013219	0.00122091	0.000416091
1.82979	0.0402552	0.0392441	0.0391188	0.0394526	0.0397608	0.0360226	0.044463	0.0378493	0.0379954	0.0356207	0.0334591	0.0301307	0.023714	0.0161911	0.00961519	0.00652423	0.00341823	0.00123982	0.00118008	0.000320702
1.83161979	0.0400307	0.0390475	0.0388975	0.0392737	0.0395857	0.0358305	0.0442272	0.0376779	0.0378097	0.0354473	0.0333094	0.0299617	0.0236006	0.0160814	0.00952592	0.00642791	0.00337129	0.00116265	0.00114334	0.000242499
