F	chi1_3K	chi1_10K	chi1_15K	chi1_20K	chi1_25K	chi2_3K	chi2_10K	chi2_15K	chi2_20K	chi2_25K
0.84902256	0	-0.000258193	-6.56E-05	-0.000299678	-0.000447061	0	0.000287177	0.000499296	0.000825718	0.000643781
0.85085235	0	-0.000262813	-6.84E-05	-0.000303648	-0.000449646	0	0.000284113	0.000497837	0.000822513	0.000638482
0.85268214	0	-0.000267116	-7.10E-05	-0.000307146	-0.00045176	0	0.000281082	0.000496432	0.000819199	0.000633104
0.85451193	0.00E+00	-0.000271419	-7.36E-05	-0.000310488	-0.000454033	4.60E-18	0.000278118	0.000495094	0.000815779	0.000627649
0.85634172	0.00E+00	-0.000275562	-7.59E-05	-0.000313358	-0.000455676	-4.60E-18	0.000275276	0.000493836	0.000812258	0.000622122
0.85817151	0	-0.000279545	-7.84E-05	-0.000316071	-0.00045732	0	0.000272571	0.000492658	0.000808646	0.000616539
0.8600013	0	-0.000283368	-8.06E-05	-0.000318787	-0.000458492	0	0.000270025	0.000491538	0.000804947	0.000610864
0.86183109	0	-0.000287029	-8.30E-05	-0.000321187	-0.000459666	0	0.000267676	0.000490497	0.000801162	0.000605128
0.86366088	0	-0.00029053	-8.52E-05	-0.00032359	-0.000460367	0	0.000265549	0.000489529	0.00079728	0.000599315
0.86549067	0	-0.000293868	-8.74E-05	-0.000325678	-0.000461069	0	0.000263665	0.000488621	0.000793312	0.000593415
0.86732046	0.00E+00	-0.000297044	-8.93E-05	-0.000327769	-0.000461299	-4.60E-18	0.000262032	0.000487747	0.000789243	0.000587438
0.86915025	0	-0.0002999	-9.12E-05	-0.000329544	-0.000461373	0	0.000260656	0.000486923	0.000785081	0.000581333
0.87098004	0.00E+00	-0.000302751	-9.32E-05	-0.000331321	-0.000461291	-4.60E-18	0.000259586	0.000486153	0.000780834	0.000575153
0.87280983	0	-0.000305282	-9.50E-05	-0.0003331	-0.00046121	0	0.000258788	0.000485392	0.000776477	0.000568857
0.87463962	0.00E+00	-0.000307965	-9.67E-05	-0.00033488	-0.000460816	-4.60E-18	0.000258291	0.000484659	0.000772019	0.000562428
0.87646941	0	-0.000310328	-9.86E-05	-0.000336504	-0.000460266	0	0.000258083	0.000483932	0.000767457	0.00055587
0.8782992	0.00E+00	-0.00031237	-0.000100163	-0.000337971	-0.00045956	-4.60E-18	0.000258134	0.000483198	0.000762784	0.000549164
0.88012899	0.00E+00	-0.000314564	-0.00010158	-0.00033944	-0.00045854	4.60E-18	0.000258486	0.000482437	0.000758012	0.000542317
0.88195878	0.00E+00	-0.000316597	-0.000103155	-0.00034091	-0.000457523	4.60E-18	0.000259063	0.000481656	0.000753116	0.000535302
0.88378857	0	-0.000318468	-0.000104573	-0.000342381	-0.000456192	0	0.000259897	0.000480833	0.000748132	0.000528159
0.88561836	0	-0.000320334	-0.000105832	-0.000343854	-0.000455022	0	0.000260956	0.000479956	0.000743049	0.000520846
0.88744815	0.00E+00	-0.000322354	-0.000107251	-0.000345328	-0.00045338	4.60E-18	0.0002622	0.000479007	0.000737866	0.00051336
0.88927794	0	-0.000323898	-0.000108354	-0.000346487	-0.000451741	0	0.00026359	0.000477992	0.000732601	0.000505726
0.89110773	0	-0.000325755	-0.000109459	-0.000347647	-0.000450105	0	0.000265143	0.000476885	0.000727262	0.000497947
0.89293752	0	-0.000327452	-0.000110723	-0.000348965	-0.000448155	0	0.000266783	0.000475677	0.000721867	0.000490023
0.89476731	0	-0.000329463	-0.00011183	-0.000350126	-0.000446207	0	0.00026849	0.000474358	0.000716418	0.000481956
0.8965971	0	-0.000331158	-0.00011278	-0.000351129	-0.000443946	0	0.000270229	0.000472928	0.000710948	0.00047378
0.89842689	0	-0.000333168	-0.00011389	-0.000352131	-0.000441844	0	0.000271952	0.000471383	0.000705483	0.000465499
0.90025668	0	-0.000335178	-0.000115002	-0.000353133	-0.000439744	0	0.000273643	0.000469707	0.000700023	0.000457123
0.90208647	0	-0.000337189	-0.000115799	-0.000353818	-0.000437172	0	0.000275257	0.000467898	0.000694627	0.00044869
0.90391626	0	-0.00033936	-0.000116914	-0.00035466	-0.000434759	0	0.000276752	0.000465971	0.000689295	0.000440215
0.90574605	0	-0.000341691	-0.000117873	-0.000355184	-0.000432348	0	0.000278098	0.000463889	0.000684053	0.000431697
0.90757584	0	-0.000344024	-0.000118677	-0.000355548	-0.000429779	0	0.000279259	0.00046168	0.00067894	0.000423194
0.90940563	0.00E+00	-0.00034652	-0.00011964	-0.000355909	-0.000427368	4.60E-18	0.000280192	0.00045933	0.000673981	0.000414717
0.91123542	0	-0.000349335	-0.000120763	-0.000356267	-0.000424957	0	0.000280901	0.000456855	0.00066922	0.000406282
0.91306521	0	-0.000351996	-0.000121889	-0.000356306	-0.000422546	0	0.000281335	0.000454255	0.000664677	0.00039794
0.914895	0.00E+00	-0.000355137	-0.000122858	-0.000356341	-0.000420134	-4.60E-18	0.000281466	0.00045151	0.00066037	0.000389679
0.91672479	0	-0.000358125	-0.000124146	-0.000356214	-0.000417721	0	0.00028128	0.000448657	0.00065634	0.00038155
0.91855458	0.00E+00	-0.000361592	-0.000125435	-0.000356082	-0.00041578	-4.60E-18	0.000280788	0.000445697	0.000652613	0.000373578
0.92038437	0	-0.000365066	-0.000126885	-0.000355945	-0.000413523	0	0.000279945	0.000442609	0.000649207	0.000365756
0.92221416	0	-0.000368546	-0.000128336	-0.000355486	-0.000411736	0	0.000278756	0.000439436	0.000646152	0.000358135
0.92404395	0	-0.000372348	-0.000129948	-0.000355338	-0.000410106	0	0.000277228	0.000436168	0.000643474	0.000350727
0.92587374	0	-0.000375999	-0.000131561	-0.000354709	-0.000408315	0	0.000275337	0.000432821	0.000641166	0.000343525
0.92770353	0.00E+00	-0.000379973	-0.000133334	-0.000354075	-0.000407153	-4.60E-18	0.000273113	0.000429377	0.000639247	0.000336553
0.92953332	0.00E+00	-0.000384268	-0.000135583	-0.000353908	-0.000406305	-4.60E-18	0.000270586	0.000425897	0.000637766	0.000329844
0.93136311	0	-0.000388412	-0.000137517	-0.000353261	-0.000405295	0	0.000267729	0.000422341	0.00063667	0.000323349
0.9331929	0	-0.000392721	-0.000139927	-0.000352765	-0.000404757	0	0.000264588	0.000418745	0.000635988	0.000317108
0.93502269	0.00E+00	-0.000397035	-0.00014218	-0.000352263	-0.000404374	4.60E-18	0.000261175	0.000415091	0.000635723	0.000311116
0.93685248	0.00E+00	-0.000401512	-0.000144909	-0.00035207	-0.000404461	4.60E-18	0.000257524	0.00041142	0.000635862	0.000305374
0.93868227	0	-0.000405678	-0.000147323	-0.000351555	-0.000404546	0	0.000253668	0.000407713	0.000636395	0.000299865
0.94051206	0	-0.000410322	-0.00015037	-0.000351351	-0.000405102	0	0.000249639	0.000404003	0.000637308	0.000294586
0.94234185	0	-0.000414654	-0.000152944	-0.000350983	-0.000405972	0	0.000245464	0.000400277	0.000638579	0.00028953
0.94417164	0	-0.000418989	-0.000156151	-0.000350926	-0.000406997	0	0.00024119	0.000396568	0.000640189	0.000284681
0.94600143	0.00E+00	-0.000423327	-0.000159043	-0.000350706	-0.000408177	4.60E-18	0.000236865	0.000392857	0.000642112	0.000280028
0.94783122	0.00E+00	-0.000427666	-0.000162252	-0.000350639	-0.000409673	4.60E-18	0.000232508	0.000389157	0.000644316	0.000275536
0.94966101	0	-0.000432006	-0.000165146	-0.000350885	-0.000411482	0	0.000228176	0.000385481	0.000646801	0.000271234
0.9514908	0.00E+00	-0.000436189	-0.000168356	-0.00035097	-0.00041329	-4.60E-18	0.00022389	0.000381856	0.000649496	0.000267056
0.95332059	0	-0.000440213	-0.000171408	-0.00035121	-0.000415254	0	0.000219702	0.000378265	0.0006524	0.000263023
0.95515038	0.00E+00	-0.000444077	-0.00017446	-0.000351448	-0.000417217	-4.60E-18	0.00021566	0.000374741	0.000655473	0.000259124
0.95698017	0	-0.00044794	-0.000177512	-0.000351842	-0.000419496	0	0.000211763	0.000371261	0.000658653	0.000255308
0.95880996	0	-0.000451485	-0.000180249	-0.000352236	-0.000421774	0	0.000208062	0.00036785	0.000661932	0.000251594
0.96063975	0.00E+00	-0.000454868	-0.000182984	-0.000352787	-0.000423893	4.60E-18	0.000204592	0.000364552	0.000665307	0.000247987
0.96246954	0.00E+00	-0.000458562	-0.000185718	-0.000353496	-0.000426169	-4.60E-18	0.000201396	0.000361341	0.000668712	0.000244447
0.96429933	0	-0.000461622	-0.00018782	-0.00035389	-0.000427971	0	0.000198421	0.000358216	0.000672099	0.000240956
0.96612912	0	-0.000464834	-0.000190236	-0.000354601	-0.000430246	0	0.000195766	0.000355231	0.000675477	0.000237568
0.96795891	0	-0.000467568	-0.000192018	-0.000355156	-0.000432047	0	0.000193388	0.000352372	0.000678816	0.000234224
0.9697887	0	-0.000470296	-0.000193641	-0.000356029	-0.000433689	0	0.000191316	0.000349655	0.000682067	0.000230956
0.97161849	0	-0.000472861	-0.000194787	-0.000356272	-0.000434856	0	0.000189549	0.000347092	0.00068523	0.000227755
0.97344828	0.00E+00	-0.00047542	-0.000196088	-0.000357149	-0.000436339	-4.60E-18	0.000188082	0.000344697	0.000688279	0.000224618
0.97527807	0	-0.000477659	-0.000196596	-0.000357556	-0.000437029	0	0.000186915	0.000342497	0.000691209	0.00022157
0.97710786	0	-0.000479734	-0.000196944	-0.000357965	-0.000437561	0	0.000186021	0.000340471	0.000693992	0.000218597
0.97893765	0	-0.000481804	-0.000196971	-0.000358536	-0.000438091	0	0.000185391	0.000338676	0.000696629	0.000215717
0.98076744	0	-0.000483554	-0.000196521	-0.000358952	-0.000437829	0	0.000184986	0.000337081	0.00069909	0.000212925
0.98259723	0.00E+00	-0.000485457	-0.000196224	-0.000359371	-0.000437565	-4.60E-18	0.000184811	0.000335716	0.000701379	0.000210239
0.98442702	0	-0.000487041	-0.000195133	-0.000359794	-0.000436982	0	0.000184826	0.000334592	0.00070351	0.000207682
0.98625681	0.00E+00	-0.000488464	-0.00019388	-0.00036022	-0.00043624	4.60E-18	0.000184997	0.000333707	0.000705458	0.000205227
0.9880866	0	-0.000489726	-0.000192148	-0.000360334	-0.000434705	0	0.000185282	0.00033307	0.000707203	0.000202888
0.98991639	0	-0.000491143	-0.000190411	-0.000360609	-0.000433167	0	0.000185674	0.000332693	0.000708783	0.000200694
0.99174618	0	-0.000492244	-0.000188194	-0.000360887	-0.00043131	0	0.000186119	0.000332577	0.000710178	0.000198625
0.99357597	0	-0.000493502	-0.000185815	-0.000361169	-0.000429292	0	0.000186586	0.000332724	0.000711396	0.000196703
0.99540576	0	-0.000494444	-0.000183114	-0.000361454	-0.000426798	0	0.000187013	0.000333119	0.000712429	0.000194887
0.99723555	0.00E+00	-0.000495544	-0.000180567	-0.0003619	-0.000424301	-4.60E-18	0.000187423	0.000333785	0.000713291	0.000193227
0.99906534	0	-0.00049633	-0.000177698	-0.000362349	-0.000421327	0	0.000187703	0.00033468	0.000713963	0.000191661
1.00089513	0	-0.000497119	-0.000174667	-0.000362802	-0.000418351	0	0.000187867	0.000335831	0.000714461	0.00019022
1.00272492	0	-0.000497909	-0.000171789	-0.000363416	-0.000415372	0	0.000187908	0.000337232	0.000714795	0.000188928
1.00455471	0	-0.000498703	-0.000168748	-0.000364032	-0.000412075	0	0.000187746	0.000338854	0.00071495	0.000187709
1.0063845	0.00E+00	-0.000499501	-0.00016602	-0.000365126	-0.000408934	4.60E-18	0.000187377	0.000340675	0.000714939	0.000186591
1.00821429	0	-0.000500145	-0.000163129	-0.000366223	-0.000405634	0	0.000186782	0.0003427	0.000714765	0.000185568
1.01004408	0	-0.000500794	-0.000160551	-0.000367323	-0.000402332	0	0.000185934	0.000344906	0.000714394	0.000184595
1.01187387	0	-0.000501448	-0.000158128	-0.000368901	-0.000399187	0	0.000184829	0.000347283	0.000713886	0.000183709
1.01370366	0.00E+00	-0.00050195	-0.000155702	-0.000370481	-0.000395725	4.60E-18	0.000183442	0.000349792	0.000713201	0.000182844
1.01553345	0	-0.000502615	-0.000153905	-0.000372223	-0.000392578	0	0.000181781	0.000352428	0.000712348	0.000182017
1.01736324	0.00E+00	-0.000503127	-0.000152423	-0.000374442	-0.00038959	4.60E-18	0.000179837	0.00035516	0.000711322	0.000181208
1.01919303	0	-0.000503646	-0.00015094	-0.000376665	-0.000386444	0	0.000177601	0.00035796	0.000710124	0.000180386
1.02102282	0.00E+00	-0.00050417	-0.000150088	-0.000379208	-0.000383456	-4.60E-18	0.000175106	0.000360811	0.000708762	0.00017956
1.02285261	0	-0.000504857	-0.000149867	-0.00038207	-0.000380942	0	0.00017234	0.000363683	0.000707239	0.000178733
1.0246824	0.00E+00	-0.000505234	-0.000149806	-0.000384936	-0.000377956	4.60E-18	0.000169318	0.000366547	0.000705521	0.00017784
1.02651219	0	-0.000505774	-0.000150377	-0.00038828	-0.000375761	0	0.000166076	0.000369373	0.000703645	0.000176927
1.02834198	0	-0.000506002	-0.000151108	-0.000391628	-0.000372935	0	0.000162619	0.000372139	0.000701602	0.000175943
1.03017177	0	-0.000506393	-0.000152631	-0.000395454	-0.000370902	0	0.000158978	0.000374799	0.000699366	0.0001749
1.03200156	0	-0.000506787	-0.000154473	-0.000399284	-0.000368711	0	0.000155189	0.000377355	0.00069699	0.000173805
1.03383135	0	-0.000507184	-0.000157108	-0.000403434	-0.00036668	0	0.000151288	0.000379769	0.000694428	0.000172646
1.03566114	0	-0.000507426	-0.000159906	-0.000407589	-0.00036481	0	0.000147281	0.000381988	0.000691701	0.000171416
1.03749093	0.00E+00	-0.000507827	-0.000163498	-0.000412063	-0.000363098	-4.60E-18	0.000143251	0.000384028	0.000688818	0.000170129
1.03932072	0.00E+00	-0.000507755	-0.000167095	-0.000416542	-0.000361073	4.60E-18	0.00013919	0.000385846	0.000685772	0.00016876
1.04115051	0	-0.000508	-0.000171646	-0.000421183	-0.000359681	0	0.000135152	0.000387412	0.000682561	0.000167343
1.0429803	0	-0.000508085	-0.000176361	-0.000426144	-0.000358291	0	0.000131185	0.000388709	0.000679222	0.000165884
1.04481009	0	-0.000508169	-0.000181556	-0.000431109	-0.000356743	0	0.000127324	0.000389726	0.000675722	0.000164368
1.04663988	0	-0.000508094	-0.000186916	-0.00043592	-0.000355355	0	0.000123587	0.000390451	0.000672078	0.00016282
1.04846967	0.00E+00	-0.000508014	-0.000192757	-0.000440893	-0.000353968	4.60E-18	0.000120037	0.000390857	0.000668311	0.000161246
1.05029946	0.00E+00	-0.000507774	-0.000198921	-0.000445869	-0.000352581	4.60E-18	0.000116687	0.000390938	0.000664404	0.000159653
1.05212925	0	-0.000507529	-0.00020525	-0.000450848	-0.000351195	0	0.000113575	0.000390696	0.000660397	0.000158067
1.05395904	0	-0.000507279	-0.000211745	-0.000455831	-0.000349808	0	0.00011074	0.000390107	0.000656265	0.000156482
1.05578883	0.00E+00	-0.000506865	-0.000218406	-0.000460659	-0.000348422	-4.60E-18	0.00010819	0.000389179	0.00065203	0.0001549
1.05761862	0.00E+00	-0.000506603	-0.000225231	-0.000465647	-0.000347193	-4.60E-18	0.000105988	0.000387927	0.000647716	0.000153375
1.05944841	0.00E+00	-0.000506019	-0.000231907	-0.000470164	-0.000345647	4.60E-18	0.000104078	0.00038631	0.000643291	0.000151855
1.0612782	0.00E+00	-0.000505427	-0.000238747	-0.000474841	-0.000344259	-4.60E-18	0.000102546	0.000384378	0.000638802	0.000150408
1.06310799	0	-0.000504986	-0.000245436	-0.000479361	-0.000342869	0	0.000101375	0.000382128	0.00063424	0.000149009
1.06493778	0	-0.00050438	-0.000252289	-0.000483884	-0.000341478	0	0.000100583	0.000379577	0.000629628	0.000147677
1.06676757	0.00E+00	-0.000503766	-0.000258833	-0.000488249	-0.000339769	-4.60E-18	0.000100131	0.000376711	0.000624953	0.000146392
1.06859736	0.00E+00	-0.000502987	-0.000265224	-0.0004923	-0.000338375	4.60E-18	0.000100047	0.000373573	0.000620231	0.000145195
1.07042715	0	-0.000502358	-0.000271304	-0.000496193	-0.000336821	0	0.000100323	0.000370155	0.000615461	0.000144048
1.07225694	0	-0.000501564	-0.000277231	-0.000499929	-0.000335107	0	0.000100945	0.000366517	0.000610685	0.000142995
1.07408673	0	-0.000500921	-0.000283004	-0.000503665	-0.00033355	0	0.00010191	0.00036265	0.000605863	0.000142001
1.07591652	0.00E+00	-0.000500113	-0.000288149	-0.000506927	-0.000331832	4.60E-18	0.000103163	0.000358561	0.000601023	0.000141073
1.07774631	0	-0.000499299	-0.000293297	-0.000510189	-0.000330114	0	0.000104713	0.0003543	0.000596175	0.000140191
1.0795761	0	-0.000498637	-0.000298132	-0.000513292	-0.000328552	0	0.000106525	0.000349885	0.000591329	0.000139377
1.08140589	0	-0.00049797	-0.000302652	-0.000516236	-0.000327147	0	0.000108552	0.000345341	0.000586478	0.0001386
1.08323568	0.00E+00	-0.000497456	-0.0003067	-0.000519022	-0.000325582	4.60E-18	0.0001108	0.000340667	0.000581633	0.000137867
1.08506547	0.00E+00	-0.000496781	-0.000310275	-0.00052149	-0.000324017	-4.60E-18	0.000113193	0.000335907	0.000576792	0.000137131
1.08689526	0	-0.000495944	-0.000313535	-0.000523799	-0.000322451	0	0.000115714	0.000331078	0.000571969	0.00013641
