# Intensity Error |Q| DeltaE
#  shape: 15x14
1.062344e-01 8.333911e-01 1.700000e+00 1.607143e+00
-3.715720e-01 3.539781e-01 1.700000e+00 2.678571e+00
9.456791e-02 3.620331e-01 1.700000e+00 3.750000e+00
2.186331e-01 3.468566e-01 1.700000e+00 4.821428e+00
5.041491e-02 3.977188e-01 1.700000e+00 5.892857e+00
3.991555e-01 4.060375e-01 1.700000e+00 6.964285e+00
-4.803933e-01 3.958757e-01 1.700000e+00 8.035714e+00
-8.592167e-02 4.794128e-01 1.700000e+00 9.107143e+00
1.380214e+00 4.555232e-01 1.700000e+00 1.017857e+01
-2.052620e-01 5.161999e-01 1.700000e+00 1.125000e+01
1.776891e-02 5.458209e-01 1.700000e+00 1.232143e+01
6.053494e-01 4.966394e-01 1.700000e+00 1.339286e+01
-5.908365e-01 5.904806e-01 1.700000e+00 1.446429e+01
1.177041e+00 2.116318e+00 1.900000e+00 5.357143e-01
1.257677e-01 8.566628e-01 1.900000e+00 1.607143e+00
-7.986119e-01 3.895481e-01 1.900000e+00 2.678571e+00
5.398797e-01 4.001586e-01 1.900000e+00 3.750000e+00
-4.244086e-01 3.821149e-01 1.900000e+00 4.821428e+00
6.408888e-01 4.495084e-01 1.900000e+00 5.892857e+00
4.018145e-01 4.603287e-01 1.900000e+00 6.964285e+00
8.069122e-01 4.482782e-01 1.900000e+00 8.035714e+00
-1.503354e-01 5.254193e-01 1.900000e+00 9.107143e+00
-3.375845e-01 5.209432e-01 1.900000e+00 1.017857e+01
-3.781525e-02 6.252911e-01 1.900000e+00 1.125000e+01
-4.849547e-01 6.630972e-01 1.900000e+00 1.232143e+01
6.538765e-01 6.760453e-01 1.900000e+00 1.339286e+01
-1.032710e+00 7.393417e-01 1.900000e+00 1.446429e+01
-4.694126e-01 2.083078e+00 2.100000e+00 5.357143e-01
-7.303465e-01 8.445337e-01 2.100000e+00 1.607143e+00
1.102743e-01 3.961597e-01 2.100000e+00 2.678571e+00
8.567409e-01 3.985667e-01 2.100000e+00 3.750000e+00
1.364240e-01 3.830588e-01 2.100000e+00 4.821428e+00
